방문자 연령,방문자 수(남성),방문자 비율(남성),방문자 수(여성),방문자 비율(여성)
70세 이상,940529.0,1.6,1082778.0,1.8
60~69세,2934961.0,5.0,2969767.0,5.0
50~59세,4580127.0,7.7,5035294.0,8.5
40~49세,5263311.0,8.9,4608736.0,7.8
30~39세,6466107.0,10.9,6442233.0,10.9
20~29세,6696899.0,11.3,8050047.0,13.6
10~19세,1687568.0,2.8,1585392.0,2.7
0~9세,448283.0,0.8,492036.0,0.8
