방문자 연령,방문자 수(남성),방문자 비율(남성),방문자 수(여성),방문자 비율(여성)
80대,1.691365558E9,0.2,7.87806688E8,0.1
70대,1.2206656143E10,1.3,5.698678984E9,0.6
60대,5.9667503916E10,6.5,3.0298087011E10,3.3
50대,1.38497465663E11,15.0,8.2615499732E10,9.0
40대,1.49388859524E11,16.2,9.7732200025E10,10.6
30대,1.18376127071E11,12.8,8.4056494676E10,9.1
20대,6.3786604632E10,6.9,7.7005669359E10,8.3
10대,4.76179796E8,0.1,4.77523138E8,0.1
