숙박일수 구분,방문자 수,방문자 수(전체),비율
무박,6.6334778E7,1.01402224E8,65.4
1박,1.0835509E7,1.01402224E8,10.7
2박,1.0723201E7,1.01402224E8,10.6
3박이상,1.3508736E7,1.01402224E8,13.3
