기준연월,숙박일수 구분,방문자 수,평균 체류시간
202101,무박,1495506.0,196.0
202102,무박,1533009.0,189.0
202103,무박,2200563.0,189.0
202104,무박,2002944.0,178.0
202105,무박,2168779.0,180.0
202106,무박,2026594.0,179.0
202107,무박,2281534.0,186.0
202108,무박,2191955.0,186.0
202109,무박,1831382.0,186.0
202110,무박,2350822.0,179.0
202111,무박,2241553.0,177.0
202112,무박,2175687.0,184.0
