기준연월,
202101,3108770.0
202102,3882244.0
202103,4809156.0
202104,5069475.0
202105,5340108.0
202106,5192639.0
202107,5671634.0
202108,5237857.0
202109,4531532.0
202110,5801364.0
202111,5615658.0
202112,5303303.0
