방문자 연령,방문자 수(남성),방문자 비율(남성),방문자 수(여성),방문자 비율(여성)
70세 이상,337780.0,2.4,290233.0,2.0
60~69세,1079759.0,7.5,836210.0,5.8
50~59세,1570284.0,10.9,1320454.0,9.2
40~49세,1572232.0,10.9,1168589.0,8.1
30~39세,1479863.0,10.3,1285992.0,9.0
20~29세,1379027.0,9.6,1220741.0,8.5
10~19세,337424.0,2.3,307251.0,2.1
0~9세,86275.0,0.6,94504.0,0.7
