기준연월,소비금액(시도),소비금액(시군구)
202101,5.3602664235E10,2.165082528E9
202102,7.2626158422E10,3.019165853E9
202103,7.077200439E10,2.376952306E9
202104,8.5546049945E10,3.252240536E9
202105,1.020188526E11,4.227896738E9
202106,1.00853204657E11,4.67263276E9
202107,1.13873798945E11,5.858075884E9
202108,1.23476376767E11,6.732915219E9
202109,9.8472808001E10,4.618169103E9
202110,1.16041681563E11,5.399149945E9
202111,9.5498422342E10,3.773353036E9
202112,8.6385969497E10,3.303283255E9
