기준연월,숙박방문자 수,방문자 수,평균 숙박일수
202101,147219.0,820359.0,1.5
202102,228417.0,986300.0,1.5
202103,162386.0,827755.0,1.6
202104,220313.0,990477.0,1.8
202105,287563.0,1254908.0,1.1
202106,320854.0,1286835.0,1.5
202107,459480.0,1586309.0,1.4
202108,476340.0,1710392.0,1.1
202109,346716.0,1313639.0,1.2
202110,376757.0,1534944.0,1.2
202111,253733.0,1081678.0,1.2
202112,260613.0,977232.0,1.2
