방문자 연령,방문자 수(남성),방문자 비율(남성),방문자 수(여성),방문자 비율(여성)
80대,3.241751E7,0.2,3721700.0,0.0
70대,4.9296143E8,2.6,1.0841095E8,0.6
60대,2.37166242E9,12.6,7.61341628E8,4.0
50대,3.553320413E9,18.9,1.41257752E9,7.5
40대,3.319703723E9,17.6,1.388755234E9,7.4
30대,2.117396638E9,11.2,9.54658995E8,5.1
20대,1.219874516E9,6.5,1.03369011E9,5.5
10대,2.608432E7,0.1,3.324795E7,0.2
