광역지자체명,기초지자체명,기초지자체별 거주 방문자 수
경기도,남양주시,383884.0
경기도,성남시 분당구,213367.0
경기도,화성시,187124.0
경기도,부천시,173432.0
경기도,의정부시,173218.0
경기도,광주시,162141.0
경기도,하남시,146514.0
경기도,용인시 기흥구,142338.0
경기도,고양시 덕양구,138800.0
경기도,김포시,135544.0
경기도,용인시 수지구,119168.0
경기도,파주시,110544.0
경기도,구리시,110460.0
경기도,고양시 일산동구,103344.0
경기도,수원시 영통구,91788.0
경기도,시흥시,89061.0
경기도,평택시,83926.0
경기도,성남시 수정구,82446.0
경기도,안양시 동안구,82418.0
경기도,고양시 일산서구,82002.0
경기도,양주시,80188.0
경기도,수원시 권선구,78858.0
경기도,이천시,77203.0
경기도,용인시 처인구,76951.0
경기도,양평군,72086.0
경기도,군포시,64536.0
경기도,포천시,63147.0
경기도,수원시 장안구,61246.0
경기도,성남시 중원구,59150.0
경기도,광명시,58674.0
경기도,안산시 상록구,57726.0
경기도,안산시 단원구,55772.0
경기도,안양시 만안구,49539.0
경기도,여주시,44202.0
경기도,의왕시,42889.0
경기도,수원시 팔달구,40026.0
경기도,오산시,39994.0
경기도,가평군,39816.0
경기도,안성시,35231.0
경기도,동두천시,26544.0
경기도,과천시,26061.0
경기도,연천군,11774.0
강원도,속초시,1426708.0
강원도,강릉시,1083506.0
강원도,춘천시,291228.0
강원도,원주시,194887.0
강원도,고성군,162869.0
강원도,인제군,107912.0
강원도,동해시,99729.0
강원도,홍천군,68988.0
강원도,삼척시,50792.0
강원도,평창군,46302.0
강원도,횡성군,22208.0
강원도,양구군,19915.0
강원도,정선군,18980.0
강원도,태백시,18672.0
강원도,철원군,15267.0
강원도,화천군,11865.0
강원도,영월군,10458.0
서울특별시,송파구,281596.0
서울특별시,강남구,248972.0
서울특별시,강동구,207064.0
서울특별시,노원구,182074.0
서울특별시,서초구,172098.0
서울특별시,강서구,151235.0
서울특별시,성북구,146573.0
서울특별시,광진구,137949.0
서울특별시,관악구,133042.0
서울특별시,마포구,132090.0
서울특별시,은평구,130610.0
서울특별시,중랑구,128776.0
서울특별시,성동구,126273.0
서울특별시,영등포구,117834.0
서울특별시,동작구,115045.0
서울특별시,동대문구,110257.0
서울특별시,서대문구,103730.0
서울특별시,양천구,102386.0
서울특별시,용산구,100849.0
서울특별시,도봉구,95242.0
서울특별시,구로구,87322.0
서울특별시,강북구,82610.0
서울특별시,종로구,55002.0
서울특별시,중구,50890.0
서울특별시,금천구,43267.0
인천광역시,서구,121796.0
인천광역시,남동구,86446.0
인천광역시,부평구,84077.0
인천광역시,연수구,77802.0
인천광역시,미추홀구,59206.0
인천광역시,계양구,54222.0
인천광역시,중구,29088.0
인천광역시,강화군,13290.0
인천광역시,동구,6458.0
인천광역시,옹진군,1701.0
충청북도,충주시,51236.0
충청북도,청주시 흥덕구,28882.0
충청북도,음성군,27650.0
충청북도,청주시 청원구,25288.0
충청북도,청주시 서원구,24696.0
충청북도,제천시,23558.0
충청북도,청주시 상당구,16972.0
충청북도,진천군,11350.0
충청북도,증평군,5579.0
충청북도,단양군,5047.0
충청북도,괴산군,4938.0
충청북도,옥천군,3164.0
충청북도,영동군,2737.0
충청북도,보은군,2016.0
충청남도,천안시 서북구,40607.0
충청남도,아산시,34408.0
충청남도,천안시 동남구,28486.0
충청남도,당진시,17440.0
충청남도,서산시,14354.0
충청남도,논산시,7578.0
충청남도,공주시,6286.0
충청남도,홍성군,5946.0
충청남도,보령시,5838.0
충청남도,예산군,5736.0
충청남도,태안군,5621.0
충청남도,계룡시,4554.0
충청남도,부여군,4378.0
충청남도,금산군,3686.0
충청남도,서천군,2572.0
충청남도,청양군,1729.0
경상북도,포항시 북구,16244.0
경상북도,구미시,14441.0
경상북도,울진군,13419.0
경상북도,경주시,12982.0
경상북도,경산시,12460.0
경상북도,안동시,11977.0
경상북도,영주시,11546.0
경상북도,포항시 남구,10566.0
경상북도,김천시,6426.0
경상북도,상주시,4053.0
경상북도,칠곡군,4042.0
경상북도,문경시,3734.0
경상북도,예천군,3650.0
경상북도,영천시,2968.0
경상북도,영덕군,2842.0
경상북도,봉화군,2342.0
경상북도,의성군,1866.0
경상북도,성주군,1666.0
경상북도,청송군,1656.0
경상북도,청도군,1274.0
경상북도,고령군,966.0
경상북도,영양군,819.0
경상북도,군위군,812.0
경상북도,울릉군,756.0
대전광역시,유성구,43032.0
대전광역시,서구,42581.0
대전광역시,중구,18644.0
대전광역시,동구,17812.0
대전광역시,대덕구,13324.0
부산광역시,해운대구,14973.0
부산광역시,부산진구,11890.0
부산광역시,금정구,10062.0
부산광역시,사하구,9506.0
부산광역시,동래구,9331.0
부산광역시,북구,9272.0
부산광역시,남구,8232.0
부산광역시,수영구,7710.0
부산광역시,연제구,6902.0
부산광역시,기장군,6342.0
부산광역시,사상구,5684.0
부산광역시,강서구,5134.0
부산광역시,영도구,3423.0
부산광역시,서구,3314.0
부산광역시,동구,2870.0
부산광역시,중구,1729.0
경상남도,김해시,16765.0
경상남도,양산시,11378.0
경상남도,진주시,10206.0
경상남도,거제시,9622.0
경상남도,창원시 성산구,9016.0
경상남도,창원시 진해구,7626.0
경상남도,창원시 의창구,7539.0
경상남도,창원시 마산회원구,5604.0
경상남도,창원시 마산합포구,5170.0
경상남도,사천시,3258.0
경상남도,통영시,3238.0
경상남도,밀양시,2800.0
경상남도,거창군,1960.0
경상남도,창녕군,1830.0
경상남도,함안군,1782.0
경상남도,합천군,1438.0
경상남도,함양군,1390.0
경상남도,산청군,1214.0
경상남도,고성군,1162.0
경상남도,남해군,1110.0
