기준연월,목적지 유형,검색량
202103,기타관광,1938
202103,숙박,27157
202103,음식,25504
202103,자연관광,23441
202103,쇼핑,2781
202103,문화관광,4990
202103,역사관광,16313
202103,체험관광,260
202103,레저스포츠,9337
202110,기타관광,6827
202110,숙박,74656
202110,음식,61647
202110,자연관광,67311
202110,쇼핑,8286
202110,문화관광,11540
202110,역사관광,34290
202110,체험관광,1109
202110,레저스포츠,24766
202104,기타관광,3369
202104,숙박,39512
202104,음식,36619
202104,자연관광,33127
202104,쇼핑,4461
202104,문화관광,7035
202104,역사관광,21147
202104,체험관광,392
202104,레저스포츠,14825
202101,기타관광,1305
202101,숙박,27640
202101,음식,23448
202101,자연관광,24591
202101,쇼핑,2376
202101,문화관광,5071
202101,역사관광,18025
202101,체험관광,327
202101,레저스포츠,7355
202102,기타관광,1939
202102,숙박,45978
202102,음식,41469
202102,자연관광,39698
202102,쇼핑,4022
202102,문화관광,8643
202102,역사관광,29579
202102,체험관광,517
202102,레저스포츠,14084
202106,기타관광,3668
202106,숙박,63831
202106,음식,52165
202106,자연관광,53069
202106,쇼핑,5261
202106,문화관광,7856
202106,역사관광,25388
202106,체험관광,423
202106,레저스포츠,29147
202108,기타관광,3892
202108,숙박,100588
202108,음식,84550
202108,자연관광,96464
202108,쇼핑,7621
202108,문화관광,10554
202108,역사관광,30494
202108,체험관광,1042
202108,레저스포츠,42546
202105,기타관광,3663
202105,숙박,55181
202105,음식,50459
202105,자연관광,45522
202105,쇼핑,5261
202105,문화관광,8281
202105,역사관광,28918
202105,체험관광,463
202105,레저스포츠,21603
202111,기타관광,4172
202111,숙박,48835
202111,음식,41700
202111,자연관광,32987
202111,쇼핑,4931
202111,문화관광,8384
202111,역사관광,24327
202111,체험관광,576
202111,레저스포츠,14793
202112,기타관광,3149
202112,숙박,48008
202112,음식,41672
202112,자연관광,28177
202112,쇼핑,4099
202112,문화관광,6538
202112,역사관광,20309
202112,체험관광,501
202112,레저스포츠,10643
202107,기타관광,3817
202107,숙박,90069
202107,음식,72760
202107,자연관광,77974
202107,쇼핑,6505
202107,문화관광,8614
202107,역사관광,24895
202107,체험관광,700
202107,레저스포츠,39572
202109,기타관광,3890
202109,숙박,61513
202109,음식,51785
202109,자연관광,52693
202109,쇼핑,6916
202109,문화관광,8356
202109,역사관광,22958
202109,체험관광,649
202109,레저스포츠,26162
