검색 목적지명,검색량,검색량(전년도),증감률
쏠비치양양,187549,194812,-3.7
낙산사,178148,176716,0.8
서피비치,142114,129537,9.7
낙산해변,113282,112523,0.7
휴휴암,83915,81112,3.5
하조대해변,71485,72902,-1.9
양양전통시장,56908,46243,23.1
설해원CC,56826,48017,18.3
죽도해변,41368,42084,-1.7
하조대전망대,40767,36679,11.1
