기준연월,숙박일수 구분,방문자 수,평균 체류시간
202101,무박,673140.0,241.0
202102,무박,757883.0,230.0
202103,무박,665369.0,239.0
202104,무박,770164.0,232.0
202105,무박,967345.0,235.0
202106,무박,965981.0,242.0
202107,무박,1126830.0,258.0
202108,무박,1234053.0,261.0
202109,무박,966922.0,248.0
202110,무박,1158187.0,242.0
202111,무박,827945.0,242.0
202112,무박,716618.0,251.0
