광역지자체명,기초지자체명,기초지자체별 거주 방문자 수
경기도,성남시 분당구,1159214.0
경기도,화성시,1038076.0
경기도,부천시,1032157.0
경기도,남양주시,846352.0
경기도,김포시,766836.0
경기도,용인시 기흥구,738300.0
경기도,용인시 수지구,684621.0
경기도,고양시 덕양구,656040.0
경기도,수원시 영통구,587300.0
경기도,고양시 일산동구,563966.0
경기도,광주시,497602.0
경기도,의정부시,496898.0
경기도,하남시,490588.0
경기도,평택시,486672.0
경기도,안양시 동안구,456382.0
경기도,파주시,446383.0
경기도,시흥시,444658.0
경기도,고양시 일산서구,442057.0
경기도,수원시 권선구,418778.0
경기도,광명시,345250.0
경기도,군포시,344512.0
경기도,성남시 수정구,342282.0
경기도,수원시 장안구,336091.0
경기도,안산시 단원구,309449.0
경기도,구리시,307489.0
경기도,안산시 상록구,303212.0
경기도,용인시 처인구,303132.0
경기도,안양시 만안구,258545.0
경기도,이천시,245672.0
경기도,의왕시,235445.0
경기도,수원시 팔달구,228137.0
경기도,성남시 중원구,221858.0
경기도,양주시,207476.0
경기도,오산시,198320.0
경기도,안성시,179666.0
경기도,과천시,161042.0
경기도,양평군,143458.0
경기도,포천시,130358.0
경기도,여주시,115930.0
경기도,동두천시,68544.0
경기도,가평군,60728.0
경기도,연천군,36596.0
서울특별시,강남구,1361784.0
서울특별시,송파구,1304370.0
서울특별시,강서구,1055250.0
서울특별시,서초구,1026098.0
서울특별시,마포구,901100.0
서울특별시,관악구,886602.0
서울특별시,영등포구,768254.0
서울특별시,강동구,755860.0
서울특별시,동작구,736183.0
서울특별시,성북구,714756.0
서울특별시,노원구,707536.0
서울특별시,은평구,696636.0
서울특별시,서대문구,661692.0
서울특별시,양천구,634214.0
서울특별시,용산구,621170.0
서울특별시,광진구,616178.0
서울특별시,성동구,615496.0
서울특별시,구로구,521854.0
서울특별시,동대문구,509582.0
서울특별시,중랑구,441914.0
서울특별시,도봉구,340952.0
서울특별시,강북구,339426.0
서울특별시,종로구,326795.0
서울특별시,중구,266588.0
서울특별시,금천구,253488.0
부산광역시,해운대구,578980.0
부산광역시,부산진구,417414.0
부산광역시,남구,352342.0
부산광역시,동래구,315592.0
부산광역시,사하구,297052.0
부산광역시,금정구,296516.0
부산광역시,북구,273490.0
부산광역시,수영구,240538.0
부산광역시,연제구,235648.0
부산광역시,기장군,181279.0
부산광역시,사상구,175420.0
부산광역시,강서구,174902.0
부산광역시,서구,136560.0
부산광역시,영도구,120676.0
부산광역시,동구,81568.0
부산광역시,중구,70452.0
인천광역시,서구,676907.0
인천광역시,연수구,576023.0
인천광역시,부평구,493182.0
인천광역시,남동구,491106.0
인천광역시,미추홀구,363030.0
인천광역시,계양구,295270.0
인천광역시,중구,207193.0
인천광역시,강화군,70402.0
인천광역시,동구,35340.0
인천광역시,옹진군,15928.0
대구광역시,수성구,727836.0
대구광역시,달서구,645852.0
대구광역시,북구,536462.0
대구광역시,동구,422250.0
대구광역시,달성군,256200.0
대구광역시,남구,159568.0
대구광역시,중구,125766.0
대구광역시,서구,106911.0
경상남도,김해시,499846.0
경상남도,양산시,278880.0
경상남도,거제시,272454.0
경상남도,진주시,265230.0
경상남도,창원시 성산구,253323.0
경상남도,창원시 의창구,224010.0
경상남도,창원시 진해구,155054.0
경상남도,창원시 마산합포구,151445.0
경상남도,창원시 마산회원구,144708.0
경상남도,통영시,126315.0
경상남도,사천시,92530.0
경상남도,밀양시,65908.0
경상남도,함안군,41142.0
경상남도,거창군,33558.0
경상남도,창녕군,31479.0
경상남도,남해군,30034.0
경상남도,함양군,25036.0
경상남도,합천군,22162.0
경상남도,고성군,22144.0
경상남도,하동군,19607.0
경상남도,산청군,16513.0
경상남도,의령군,14980.0
경상북도,경산시,333708.0
경상북도,구미시,295676.0
경상북도,포항시 북구,242868.0
경상북도,경주시,224147.0
경상북도,포항시 남구,215898.0
경상북도,안동시,130571.0
경상북도,김천시,110526.0
경상북도,칠곡군,69878.0
경상북도,상주시,64536.0
경상북도,영주시,63931.0
경상북도,영천시,57880.0
