검색 목적지명,검색량,검색량(전년도),증감률
제주국제공항,748243,490913,52.4
동문재래시장,324138,282181,14.9
서귀포매일올레시장,281490,232591,21.0
함덕해수욕장,208269,155450,34.0
협재해수욕장,206594,164116,25.9
성산일출봉,188587,154883,21.8
섭지코지,134202,103690,29.4
이호테우해변,128716,95670,34.5
오설록티뮤지엄,123632,102820,20.2
한라산둘레길사려니숲길,123234,83038,48.4
