기준연월,숙박방문자 수,방문자 수,평균 숙박일수
202101,1613264.0,3108770.0,1.8
202102,2349235.0,3882244.0,1.9
202103,2608593.0,4809156.0,1.8
202104,3066531.0,5069475.0,1.7
202105,3171330.0,5340108.0,1.6
202106,3166044.0,5192639.0,1.7
202107,3390100.0,5671634.0,1.6
202108,3045902.0,5237857.0,1.7
202109,2700151.0,4531532.0,1.7
202110,3450542.0,5801364.0,1.6
202111,3374106.0,5615658.0,1.5
202112,3127616.0,5303303.0,1.6
