숙박일수 구분,방문자 수,방문자 수(전체),비율
무박,5.2326723E7,7.8110246E7,67.0
1박,8433026.0,7.8110246E7,10.8
2박,7161563.0,7.8110246E7,9.2
3박이상,1.0188934E7,7.8110246E7,13.0
