검색 목적지명,검색량,검색량(전년도),증감률
제주국제공항,490913,427589,14.8
동문재래시장,282181,263829,7.0
서귀포매일올레시장,232591,225859,3.0
협재해수욕장,164116,151276,8.5
함덕해수욕장,155450,130575,19.1
성산일출봉,154883,160488,-3.5
섭지코지,103690,100307,3.4
오설록티뮤지엄,102820,110760,-7.2
이호테우해변,95670,78127,22.5
한라산둘레길사려니숲길,86169,84971,1.4
