기준연월,숙박일수 구분,방문자 수,평균 체류시간
202001,무박,2317845.0,188.0
202002,무박,1618003.0,199.0
202003,무박,1531993.0,203.0
202004,무박,1231273.0,191.0
202005,무박,1695767.0,191.0
202006,무박,1735439.0,190.0
202007,무박,2146796.0,189.0
202008,무박,2185564.0,193.0
202009,무박,1628106.0,196.0
202010,무박,1732600.0,187.0
202011,무박,1369909.0,176.0
202012,무박,1634763.0,201.0
