광역지자체명,기초지자체명,기초지자체별 거주 방문자 수
서울특별시,강남구,847956.0
서울특별시,송파구,833756.0
서울특별시,강서구,740674.0
서울특별시,서초구,641950.0
서울특별시,관악구,600376.0
서울특별시,마포구,577308.0
서울특별시,동작구,514507.0
서울특별시,영등포구,483158.0
서울특별시,성북구,475822.0
서울특별시,강동구,458930.0
서울특별시,노원구,455706.0
서울특별시,은평구,452210.0
서울특별시,양천구,445192.0
서울특별시,서대문구,425766.0
서울특별시,광진구,397756.0
서울특별시,성동구,385466.0
서울특별시,용산구,359424.0
서울특별시,구로구,352050.0
서울특별시,동대문구,342143.0
서울특별시,중랑구,291899.0
서울특별시,강북구,230954.0
서울특별시,도봉구,226878.0
서울특별시,종로구,218565.0
서울특별시,중구,174086.0
서울특별시,금천구,167832.0
경기도,부천시,707625.0
경기도,성남시 분당구,698364.0
경기도,화성시,625930.0
경기도,남양주시,525919.0
경기도,용인시 기흥구,469962.0
경기도,김포시,461590.0
경기도,용인시 수지구,405302.0
경기도,고양시 덕양구,403042.0
경기도,고양시 일산동구,372670.0
경기도,수원시 영통구,363075.0
경기도,광주시,320493.0
경기도,의정부시,312106.0
경기도,평택시,296433.0
경기도,고양시 일산서구,277287.0
경기도,안양시 동안구,272970.0
경기도,시흥시,272209.0
경기도,파주시,272016.0
경기도,하남시,265388.0
경기도,수원시 권선구,253364.0
경기도,광명시,232706.0
경기도,수원시 장안구,228096.0
경기도,군포시,219468.0
경기도,성남시 수정구,209796.0
경기도,안산시 상록구,202794.0
경기도,구리시,198804.0
경기도,용인시 처인구,195482.0
경기도,안산시 단원구,182111.0
경기도,안양시 만안구,164626.0
경기도,이천시,152892.0
경기도,성남시 중원구,145660.0
경기도,의왕시,145599.0
경기도,수원시 팔달구,141064.0
경기도,오산시,130383.0
경기도,양주시,126876.0
경기도,안성시,114360.0
경기도,양평군,88022.0
경기도,과천시,87818.0
경기도,포천시,76950.0
경기도,여주시,71149.0
경기도,동두천시,41096.0
경기도,가평군,41096.0
경기도,연천군,19460.0
부산광역시,해운대구,357390.0
부산광역시,부산진구,252780.0
부산광역시,남구,232116.0
부산광역시,동래구,198882.0
부산광역시,사하구,198586.0
부산광역시,금정구,192552.0
부산광역시,북구,176033.0
부산광역시,연제구,155652.0
부산광역시,수영구,151774.0
부산광역시,사상구,123844.0
부산광역시,기장군,112185.0
부산광역시,강서구,110948.0
부산광역시,서구,87895.0
부산광역시,영도구,87741.0
부산광역시,동구,54591.0
부산광역시,중구,45826.0
인천광역시,서구,467902.0
인천광역시,연수구,351506.0
인천광역시,남동구,341844.0
인천광역시,부평구,338578.0
인천광역시,미추홀구,257357.0
인천광역시,계양구,203685.0
인천광역시,중구,148805.0
인천광역시,강화군,40864.0
인천광역시,동구,25226.0
인천광역시,옹진군,12585.0
대구광역시,수성구,451846.0
대구광역시,달서구,415106.0
대구광역시,북구,343888.0
대구광역시,동구,272705.0
대구광역시,달성군,171339.0
대구광역시,남구,104473.0
대구광역시,중구,77082.0
대구광역시,서구,73530.0
경상남도,김해시,318395.0
경상남도,양산시,181778.0
경상남도,진주시,171824.0
경상남도,거제시,170972.0
경상남도,창원시 의창구,160554.0
경상남도,창원시 성산구,146450.0
경상남도,창원시 진해구,107038.0
경상남도,창원시 마산회원구,94168.0
경상남도,창원시 마산합포구,91246.0
경상남도,통영시,88158.0
경상남도,사천시,58078.0
경상남도,밀양시,42140.0
경상남도,함안군,29778.0
경상남도,거창군,24358.0
경상남도,남해군,22405.0
경상남도,창녕군,21852.0
경상남도,함양군,16410.0
경상남도,합천군,14692.0
경상남도,하동군,14606.0
경상남도,고성군,14007.0
경상남도,산청군,9954.0
경상남도,의령군,9130.0
광주광역시,북구,378772.0
광주광역시,광산구,363034.0
광주광역시,서구,304649.0
광주광역시,남구,197590.0
광주광역시,동구,103621.0
경상북도,경산시,208517.0
경상북도,구미시,186798.0
경상북도,포항시 북구,148594.0
경상북도,경주시,143878.0
경상북도,포항시 남구,130235.0
경상북도,안동시,83934.0
경상북도,김천시,70892.0
경상북도,칠곡군,43191.0
경상북도,상주시,42622.0
경상북도,영주시,39650.0
경상북도,영천시,36316.0
경상북도,예천군,24984.0
경상북도,울진군,24934.0
경상북도,문경시,23977.0
경상북도,청도군,18755.0
경상북도,성주군,18139.0
경상북도,의성군,17038.0
경상북도,영덕군,13168.0
경상북도,고령군,12109.0
경상북도,청송군,8877.0
경상북도,봉화군,8771.0
경상북도,군위군,7420.0
경상북도,영양군,5462.0
경상북도,울릉군,4789.0
전라남도,목포시,251182.0
전라남도,여수시,188842.0
전라남도,순천시,167845.0
전라남도,나주시,94412.0
전라남도,무안군,78549.0
전라남도,광양시,74616.0
전라남도,완도군,57830.0
전라남도,영암군,39287.0
전라남도,화순군,38414.0
전라남도,해남군,36140.0
전라남도,담양군,35224.0
전라남도,신안군,33690.0
전라남도,영광군,28218.0
전라남도,고흥군,27312.0
전라남도,장성군,23376.0
전라남도,강진군,22508.0
전라남도,장흥군,20144.0
전라남도,진도군,19038.0
전라남도,보성군,16339.0
전라남도,곡성군,12800.0
전라남도,함평군,11396.0
전라남도,구례군,10580.0
충청남도,천안시 서북구,249550.0
충청남도,아산시,194491.0
충청남도,천안시 동남구,187514.0
충청남도,당진시,89371.0
충청남도,서산시,84375.0
충청남도,보령시,60598.0
충청남도,논산시,54918.0
충청남도,공주시,45840.0
충청남도,홍성군,44640.0
충청남도,태안군,35790.0
충청남도,예산군,34376.0
충청남도,부여군,28724.0
충청남도,계룡시,27490.0
충청남도,금산군,24746.0
충청남도,서천군,24051.0
충청남도,청양군,13560.0
대전광역시,유성구,388350.0
대전광역시,서구,379810.0
대전광역시,중구,155136.0
대전광역시,동구,129065.0
대전광역시,대덕구,99580.0
전라북도,전주시 완산구,246974.0
전라북도,전주시 덕진구,214590.0
전라북도,익산시,187624.0
전라북도,군산시,182676.0
전라북도,완주군,57726.0
전라북도,정읍시,43800.0
전라북도,남원시,39243.0
전라북도,김제시,31788.0
전라북도,고창군,27797.0
전라북도,부안군,26858.0
전라북도,무주군,10132.0
전라북도,순창군,9217.0
전라북도,장수군,7849.0
전라북도,진안군,7510.0
전라북도,임실군,6432.0
충청북도,청주시 흥덕구,217224.0
충청북도,청주시 서원구,175218.0
충청북도,청주시 청원구,161959.0
충청북도,충주시,138316.0
충청북도,청주시 상당구,120412.0
충청북도,음성군,73354.0
충청북도,제천시,44384.0
충청북도,진천군,41130.0
충청북도,증평군,33274.0
충청북도,옥천군,23834.0
충청북도,영동군,22040.0
충청북도,괴산군,15136.0
충청북도,보은군,13296.0
충청북도,단양군,11815.0
강원도,원주시,197251.0
강원도,춘천시,160691.0
강원도,강릉시,136989.0
강원도,속초시,61364.0
강원도,동해시,38159.0
강원도,양양군,32100.0
강원도,평창군,29744.0
강원도,홍천군,29382.0
강원도,삼척시,27398.0
강원도,태백시,21784.0
강원도,인제군,21085.0
강원도,횡성군,20287.0
강원도,철원군,18816.0
강원도,고성군,15932.0
강원도,정선군,15603.0
강원도,영월군,11876.0
강원도,양구군,11826.0
강원도,화천군,10218.0
울산광역시,남구,222140.0
울산광역시,울주군,126075.0
울산광역시,북구,125862.0
울산광역시,중구,121885.0
울산광역시,동구,79315.0
세종특별자치시,세종특별자치시,327854.0
