기준연월,목적지 유형,검색량
202003,기타관광,90509
202003,쇼핑,42944
202003,숙박,116943
202003,음식,246646
202003,자연관광,117563
202003,문화관광,53968
202003,역사관광,5941
202003,체험관광,3584
202003,레저스포츠,29946
202004,기타관광,90912
202004,쇼핑,44770
202004,숙박,126009
202004,음식,264075
202004,자연관광,122091
202004,문화관광,52796
202004,역사관광,6761
202004,체험관광,2998
202004,레저스포츠,34456
202005,기타관광,139240
202005,쇼핑,67750
202005,숙박,208114
202005,음식,428617
202005,자연관광,188271
202005,문화관광,90273
202005,역사관광,10022
202005,체험관광,3988
202005,레저스포츠,54335
202006,기타관광,140001
202006,쇼핑,71900
202006,숙박,241399
202006,음식,480964
202006,자연관광,191676
202006,문화관광,92041
202006,역사관광,8402
202006,체험관광,3432
202006,레저스포츠,56055
202008,기타관광,206790
202008,쇼핑,110620
202008,숙박,423929
202008,음식,768217
202008,자연관광,328508
202008,문화관광,147509
202008,역사관광,9248
202008,체험관광,3706
202008,레저스포츠,83175
202001,기타관광,138649
202001,쇼핑,75824
202001,숙박,225255
202001,음식,409135
202001,자연관광,140852
202001,문화관광,133034
202001,역사관광,12549
202001,체험관광,17391
202001,레저스포츠,37091
202007,기타관광,155776
202007,쇼핑,89565
202007,숙박,301302
202007,음식,581932
202007,자연관광,235866
202007,문화관광,109809
202007,역사관광,8350
202007,체험관광,3754
202007,레저스포츠,62211
202011,기타관광,179925
202011,쇼핑,93379
202011,숙박,306926
202011,음식,576348
202011,자연관광,221202
202011,문화관광,133764
202011,역사관광,12543
202011,체험관광,9818
202011,레저스포츠,71796
202012,기타관광,117295
202012,쇼핑,64536
202012,숙박,193642
202012,음식,366792
202012,자연관광,138309
202012,문화관광,76871
202012,역사관광,8291
202012,체험관광,9490
202012,레저스포츠,44525
202002,기타관광,85275
202002,쇼핑,43380
202002,숙박,121791
202002,음식,244999
202002,자연관광,99167
202002,문화관광,63590
202002,역사관광,5899
202002,체험관광,5109
202002,레저스포츠,27023
202009,기타관광,137319
202009,쇼핑,78878
202009,숙박,254778
202009,음식,486807
202009,자연관광,211892
202009,문화관광,83233
202009,역사관광,6878
202009,체험관광,2064
202009,레저스포츠,55976
202010,기타관광,211243
202010,쇼핑,103643
202010,숙박,355152
202010,음식,691991
202010,자연관광,291909
202010,문화관광,147517
202010,역사관광,13678
202010,체험관광,5671
202010,레저스포츠,90185
