방문자 연령,방문자 수(남성),방문자 비율(남성),방문자 수(여성),방문자 비율(여성)
80대,1.402123379E9,0.2,5.5610783E8,0.1
70대,1.1601415406E10,1.3,5.07115221E9,0.5
60대,5.6869540954E10,6.1,2.6374181805E10,2.8
50대,1.45604349861E11,15.7,7.8163077304E10,8.4
40대,1.59191623968E11,17.2,1.00088805899E11,10.8
30대,1.20934851642E11,13.0,8.5448405643E10,9.2
20대,6.5089566156E10,7.0,6.9041613935E10,7.4
10대,6.66473467E8,0.1,7.68536846E8,0.1
