방문자 연령,방문자 수(남성),방문자 비율(남성),방문자 수(여성),방문자 비율(여성)
70세 이상,853498.0,1.6,935123.0,1.8
60~69세,2448096.0,4.6,2399767.0,4.5
50~59세,4625899.0,8.7,4707993.0,8.9
40~49세,5119638.0,9.7,4486295.0,8.5
30~39세,5374041.0,10.2,5358436.0,10.1
20~29세,5459796.0,10.3,5990269.0,11.3
10~19세,2238237.0,4.2,2086054.0,3.9
0~9세,374147.0,0.7,438612.0,0.8
