기준연월,지역명,숙박방문자 수
201901,제주특별자치도,2359292.0
201902,제주특별자치도,2440093.0
201903,제주특별자치도,2387088.0
201904,제주특별자치도,2397951.0
201905,제주특별자치도,2454537.0
201906,제주특별자치도,2421951.0
201907,제주특별자치도,2794216.0
201908,제주특별자치도,3134571.0
201909,제주특별자치도,2412656.0
201910,제주특별자치도,2737344.0
201911,제주특별자치도,2496988.0
201912,제주특별자치도,2471657.0
