기준연월,목적지 유형,검색량
201901,기타관광,97150
201901,쇼핑,56932
201901,숙박,152475
201901,음식,272121
201901,자연관광,113374
201901,문화관광,100589
201901,역사관광,14212
201901,체험관광,8237
201901,레저스포츠,26243
201903,기타관광,111138
201903,쇼핑,62356
201903,숙박,158069
201903,음식,288496
201903,자연관광,139852
201903,문화관광,100195
201903,역사관광,8904
201903,체험관광,4160
201903,레저스포츠,34807
201907,기타관광,123669
201907,쇼핑,69522
201907,숙박,240770
201907,음식,397749
201907,자연관광,194380
201907,문화관광,129971
201907,역사관광,8350
201907,체험관광,4820
201907,레저스포츠,45573
201908,기타관광,162150
201908,쇼핑,87328
201908,숙박,319452
201908,음식,539003
201908,자연관광,265310
201908,문화관광,167666
201908,역사관광,9296
201908,체험관광,5493
201908,레저스포츠,60177
201909,기타관광,114678
201909,쇼핑,64348
201909,숙박,197084
201909,음식,357099
201909,자연관광,153589
201909,문화관광,112780
201909,역사관광,7770
201909,체험관광,4635
201909,레저스포츠,39647
201910,기타관광,152957
201910,쇼핑,76649
201910,숙박,251622
201910,음식,449003
201910,자연관광,193791
201910,문화관광,149818
201910,역사관광,11161
201910,체험관광,7540
201910,레저스포츠,59657
201911,기타관광,134058
201911,쇼핑,72150
201911,숙박,220900
201911,음식,396460
201911,자연관광,161784
201911,문화관광,121661
201911,역사관광,11530
201911,체험관광,9388
201911,레저스포츠,52326
201912,기타관광,133253
201912,쇼핑,79492
201912,숙박,238199
201912,음식,444332
201912,자연관광,140105
201912,문화관광,136827
201912,역사관광,13373
201912,체험관광,17109
201912,레저스포츠,41401
201902,기타관광,99037
201902,쇼핑,58063
201902,숙박,152118
201902,음식,271097
201902,자연관광,115743
201902,문화관광,105910
201902,역사관광,9859
201902,체험관광,5411
201902,레저스포츠,29887
201906,기타관광,123145
201906,쇼핑,63581
201906,숙박,209122
201906,음식,351537
201906,자연관광,168447
201906,문화관광,121668
201906,역사관광,10173
201906,체험관광,4986
201906,레저스포츠,47730
201905,기타관광,121854
201905,쇼핑,60666
201905,숙박,192117
201905,음식,327511
201905,자연관광,162371
201905,문화관광,120392
201905,역사관광,10257
201905,체험관광,3757
201905,레저스포츠,45379
201904,기타관광,116820
201904,쇼핑,59926
201904,숙박,170786
201904,음식,293277
201904,자연관광,144969
201904,문화관광,109795
201904,역사관광,9114
201904,체험관광,3639
201904,레저스포츠,41568
