기준연월,숙박방문자 수,방문자 수,평균 숙박일수
201901,2359292.0,4471239.0,1.5
201902,2440093.0,4156628.0,1.6
201903,2387088.0,4711153.0,1.5
201904,2397951.0,4385541.0,1.4
201905,2454537.0,4575258.0,1.4
201906,2421951.0,4409462.0,1.4
201907,2794216.0,5060293.0,1.5
201908,3134571.0,5757687.0,1.5
201909,2412656.0,4549933.0,1.5
201910,2737344.0,5139787.0,1.4
201911,2496988.0,4682392.0,1.4
201912,2471657.0,4828900.0,1.4
