숙박일수 구분,방문자 수,방문자 수(전체),비율
무박,6.4984801E7,9.5656747E7,67.9
1박,9939381.0,9.5656747E7,10.4
2박,9704392.0,9.5656747E7,10.1
3박이상,1.1028173E7,9.5656747E7,11.5
