방문자 연령,방문자 수(남성),방문자 비율(남성),방문자 수(여성),방문자 비율(여성)
80대,1.392060068E9,0.1,5.41689185E8,0.1
70대,1.1617926247E10,1.1,5.081923959E9,0.5
60대,5.5851968554E10,5.4,2.8815538832E10,2.8
50대,1.52933915648E11,14.9,8.7230729407E10,8.5
40대,1.823376534E11,17.8,1.20416206093E11,11.7
30대,1.31508165859E11,12.8,1.01385188731E11,9.9
20대,6.8830127307E10,6.7,7.5072132379E10,7.3
10대,1.133734847E9,0.1,1.326798752E9,0.1
