기준연월,
201901,4578825.0
201902,4275507.0
201903,4853464.0
201904,4575504.0
201905,4739423.0
201906,4586595.0
201907,5238610.0
201908,5964223.0
201909,4731762.0
201910,5363107.0
201911,4873559.0
201912,5036116.0
