기준연월,소비금액(시도),소비금액(시군구)
202001,9.8147222395E10,2.893276299E9
202002,6.9547139372E10,2.295888783E9
202003,6.2071229074E10,2.563814875E9
202004,7.5022237808E10,2.970113903E9
202005,1.0341422231E11,4.254309587E9
202006,9.7148885898E10,4.453671813E9
202007,1.11707367846E11,5.643691764E9
202008,1.33871608796E11,8.227128644E9
202009,8.2099517E10,3.720826255E9
202010,1.10006332933E11,5.200405975E9
202011,8.4093560782E10,3.456749571E9
202012,5.9888523698E10,2.714299126E9
