기준연월,방문자수
202001,1186055.0
202002,790308.0
202003,900805.0
202004,949909.0
202005,1299733.0
202006,1329666.0
202007,1704456.0
202008,2239329.0
202009,1134703.0
202010,1690281.0
202011,1062598.0
202012,945247.0
