방문자 연령,방문자 수(남성),방문자 비율(남성),방문자 수(여성),방문자 비율(여성)
70세 이상,345362.0,2.3,285379.0,1.9
60~69세,1060245.0,7.0,799038.0,5.2
50~59세,1690965.0,11.1,1419612.0,9.3
40~49세,1709428.0,11.2,1278314.0,8.4
30~39세,1606672.0,10.6,1383450.0,9.1
20~29세,1443528.0,9.5,1262845.0,8.3
10~19세,396282.0,2.6,352156.0,2.3
0~9세,88885.0,0.6,104144.0,0.7
