기준연월,숙박방문자 수,방문자 수,평균 숙박일수
202001,230744.0,1186055.0,1.3
202002,149406.0,790308.0,1.2
202003,159392.0,900805.0,1.4
202004,201321.0,949909.0,1.4
202005,246503.0,1299733.0,1.3
202006,283108.0,1329666.0,1.1
202007,403067.0,1704456.0,1.1
202008,591624.0,2239329.0,1.3
202009,259068.0,1134703.0,1.4
202010,326756.0,1690281.0,1.1
202011,201420.0,1062598.0,1.7
202012,190403.0,945247.0,1.2
