광역지자체명,기초지자체명,기초지자체별 거주 방문자 수
경기도,남양주시,423136.0
경기도,성남시 분당구,211768.0
경기도,의정부시,192860.0
경기도,화성시,187856.0
경기도,부천시,187506.0
경기도,광주시,169460.0
경기도,용인시 기흥구,146797.0
경기도,하남시,146006.0
경기도,고양시 덕양구,145999.0
경기도,김포시,136028.0
경기도,구리시,124208.0
경기도,용인시 수지구,119402.0
경기도,고양시 일산동구,113449.0
경기도,파주시,110096.0
경기도,수원시 영통구,94230.0
경기도,양주시,88092.0
경기도,안양시 동안구,86950.0
경기도,고양시 일산서구,85306.0
경기도,이천시,85256.0
경기도,시흥시,84910.0
경기도,평택시,83769.0
경기도,성남시 수정구,83517.0
경기도,용인시 처인구,81921.0
경기도,수원시 권선구,81148.0
경기도,양평군,73924.0
경기도,포천시,72443.0
경기도,군포시,70340.0
경기도,수원시 장안구,65426.0
경기도,성남시 중원구,64396.0
경기도,안산시 상록구,63245.0
경기도,광명시,62916.0
경기도,안산시 단원구,55654.0
경기도,안양시 만안구,50340.0
경기도,여주시,46536.0
경기도,의왕시,46330.0
경기도,가평군,44342.0
경기도,오산시,43036.0
경기도,수원시 팔달구,41188.0
경기도,안성시,33674.0
경기도,동두천시,31076.0
경기도,과천시,23292.0
경기도,연천군,13766.0
강원도,속초시,1367208.0
강원도,강릉시,1030456.0
강원도,춘천시,342122.0
강원도,원주시,199832.0
강원도,고성군,147833.0
강원도,동해시,112340.0
강원도,인제군,106890.0
강원도,홍천군,77060.0
강원도,삼척시,59234.0
강원도,평창군,42840.0
강원도,양구군,22687.0
강원도,횡성군,22113.0
강원도,정선군,21091.0
강원도,태백시,19082.0
강원도,철원군,16317.0
강원도,화천군,12470.0
강원도,영월군,9373.0
서울특별시,송파구,301494.0
서울특별시,강남구,253701.0
서울특별시,강동구,219401.0
서울특별시,노원구,201978.0
서울특별시,서초구,176214.0
서울특별시,강서구,165683.0
서울특별시,성북구,157678.0
서울특별시,중랑구,145372.0
서울특별시,광진구,145344.0
서울특별시,관악구,141950.0
서울특별시,은평구,138929.0
서울특별시,마포구,137106.0
서울특별시,성동구,130921.0
서울특별시,동작구,125440.0
서울특별시,동대문구,121062.0
서울특별시,영등포구,115812.0
서울특별시,양천구,115706.0
서울특별시,서대문구,105840.0
서울특별시,도봉구,105357.0
서울특별시,용산구,98868.0
서울특별시,강북구,96600.0
서울특별시,구로구,92558.0
서울특별시,종로구,56182.0
서울특별시,중구,52840.0
서울특별시,금천구,44877.0
인천광역시,서구,128244.0
인천광역시,부평구,94888.0
인천광역시,남동구,88984.0
인천광역시,연수구,77007.0
인천광역시,계양구,62864.0
인천광역시,미추홀구,61856.0
인천광역시,중구,32042.0
인천광역시,강화군,14808.0
인천광역시,동구,7609.0
인천광역시,옹진군,2048.0
충청북도,충주시,52546.0
충청북도,청주시 흥덕구,31927.0
충청북도,청주시 청원구,26492.0
충청북도,음성군,26288.0
충청북도,제천시,25820.0
충청북도,청주시 서원구,24941.0
충청북도,청주시 상당구,17402.0
충청북도,진천군,11910.0
충청북도,증평군,6286.0
충청북도,단양군,5873.0
충청북도,괴산군,3776.0
