숙박일수 구분,방문자 수,방문자 수(전체),비율
무박,1.1990279E7,1.5233091E7,78.7
1박,1706568.0,1.5233091E7,11.2
2박,943119.0,1.5233091E7,6.2
3박이상,593125.0,1.5233091E7,3.9
