방문자 연령,방문자 수(남성),방문자 비율(남성),방문자 수(여성),방문자 비율(여성)
80대,2.130875E7,0.1,3220850.0,0.0
70대,4.7569815E8,2.6,6.721284E7,0.4
60대,2.367937417E9,13.1,6.50676203E8,3.6
50대,3.690494565E9,20.4,1.337174199E9,7.4
40대,3.071393668E9,17.0,1.248742092E9,6.9
30대,2.00616438E9,11.1,1.087689367E9,6.0
20대,1.060419286E9,5.9,9.00277688E8,5.0
10대,1.90726E7,0.1,4.293868E7,0.2
