검색 목적지명,검색량,검색량(전년도),증감률
쏠비치양양,194812,173035,12.6
낙산사,176716,193356,-8.6
서피비치,129537,69282,87.0
낙산해변,112523,71527,57.3
휴휴암,81112,68260,18.8
하조대해변,72902,52238,39.6
설해원CC,48017,25952,85.0
양양전통시장,46243,37245,24.2
오색약수터,42614,36800,15.8
죽도해변,42084,32165,30.8
