기준연월,지역명,숙박방문자 수
202001,양양군,230744.0
202002,양양군,149406.0
202003,양양군,159392.0
202004,양양군,201321.0
202005,양양군,246503.0
202006,양양군,283108.0
202007,양양군,403067.0
202008,양양군,591624.0
202009,양양군,259068.0
202010,양양군,326756.0
202011,양양군,201420.0
202012,양양군,190403.0
