기준연월,방문자수
201901,976041.0
201902,913768.0
201903,997768.0
201904,829531.0
201905,1037806.0
201906,1125616.0
201907,1350359.0
201908,2126388.0
201909,1113431.0
201910,1304454.0
201911,1042725.0
201912,1039422.0
