기준연월,숙박일수 구분,방문자 수,평균 체류시간
201901,무박,803907.0,236.0
201902,무박,694045.0,257.0
201903,무박,820411.0,238.0
201904,무박,674618.0,231.0
201905,무박,836415.0,230.0
201906,무박,877546.0,246.0
201907,무박,1000660.0,265.0
201908,무박,1557639.0,271.0
201909,무박,879709.0,248.0
201910,무박,1059422.0,221.0
201911,무박,841478.0,239.0
201912,무박,822245.0,243.0
