업종대분류명,업종중분류명,중분류 소비액
쇼핑업,면세점,3.057643E7
쇼핑업,관광기념품,6.7681863E8
쇼핑업,레저용품쇼핑,6.33599188E8
쇼핑업,대형쇼핑몰,1.2461E7
숙박업,콘도,7.152824695E9
숙박업,기타숙박,3.428857621E9
숙박업,캠핑장/펜션,8.2240061E7
숙박업,호텔,3.226699E7
식음료업,식음료,2.5885344938E10
여가서비스업,골프장,4.605675116E9
여가서비스업,기타레저,4.23715653E8
여가서비스업,문화서비스,4.553783E7
여가서비스업,관광유원시설,1.1938E7
여행업,여행업,0.0
운송업,항공운송,4.95785E7
운송업,렌터카,1.0756E7
