숙박일수 구분,방문자 수,방문자 수(전체),비율
무박,1.0868097E7,1.3839533E7,78.5
1박,1647145.0,1.3839533E7,11.9
2박,793423.0,1.3839533E7,5.7
3박이상,530868.0,1.3839533E7,3.8
