기준연월,숙박방문자 수,방문자 수,평균 숙박일수
201901,171715.0,975622.0,1.0
201902,219086.0,913131.0,1.3
201903,176734.0,997146.0,1.2
201904,153141.0,827760.0,1.2
201905,200412.0,1036827.0,1.1
201906,246371.0,1123917.0,1.1
201907,347751.0,1348411.0,1.2
201908,567073.0,2124712.0,1.2
201909,232678.0,1112388.0,1.1
201910,242399.0,1301821.0,1.1
201911,199371.0,1040849.0,1.1
201912,214704.0,1036949.0,1.1
