기준연월,목적지 유형,검색량
201901,기타관광,1069
201901,숙박,23072
201901,음식,13876
201901,자연관광,17619
201901,쇼핑,1926
201901,문화관광,3592
201901,역사관광,25845
201901,체험관광,759
201901,레저스포츠,2607
201903,기타관광,1195
201903,숙박,22745
201903,음식,16476
201903,자연관광,19084
201903,쇼핑,2121
201903,문화관광,3292
201903,역사관광,26431
201903,체험관광,527
201903,레저스포츠,4108
201907,기타관광,1455
201907,숙박,51834
201907,음식,35514
201907,자연관광,48767
201907,쇼핑,3996
201907,문화관광,5303
201907,역사관광,24799
201907,체험관광,791
201907,레저스포츠,19759
201908,기타관광,2239
201908,숙박,85620
201908,음식,67954
201908,자연관광,102889
201908,쇼핑,6806
201908,문화관광,9481
201908,역사관광,39042
201908,체험관광,1277
201908,레저스포츠,42476
201909,기타관광,1795
201909,숙박,32131
201909,음식,24472
201909,자연관광,27883
201909,쇼핑,3792
201909,문화관광,5542
201909,역사관광,20295
201909,체험관광,524
201909,레저스포츠,13643
201910,기타관광,3474
201910,숙박,39743
201910,음식,29598
201910,자연관광,42044
201910,쇼핑,4776
201910,문화관광,7353
201910,역사관광,30247
201910,체험관광,1054
201910,레저스포츠,10811
201911,기타관광,2140
201911,숙박,28484
201911,음식,19604
201911,자연관광,22560
201911,쇼핑,2862
201911,문화관광,3509
201911,역사관광,22126
201911,체험관광,860
201911,레저스포츠,6956
201912,기타관광,2516
201912,숙박,33417
201912,음식,22561
201912,자연관광,21402
201912,쇼핑,2854
201912,문화관광,3951
201912,역사관광,24380
201912,체험관광,1018
201912,레저스포츠,5713
201902,기타관광,1067
201902,숙박,26547
201902,음식,15828
201902,자연관광,15364
201902,쇼핑,2183
201902,문화관광,3152
201902,역사관광,24194
201902,체험관광,843
201902,레저스포츠,2985
201906,기타관광,1676
201906,숙박,36425
201906,음식,26965
201906,자연관광,32039
201906,쇼핑,2826
201906,문화관광,4134
201906,역사관광,24811
201906,체험관광,550
201906,레저스포츠,13558
201905,기타관광,1419
201905,숙박,28813
201905,음식,20382
201905,자연관광,25956
201905,쇼핑,2950
201905,문화관광,3353
201905,역사관광,25290
201905,체험관광,546
201905,레저스포츠,7740
201904,기타관광,1158
201904,숙박,18307
201904,음식,11356
201904,자연관광,13594
201904,쇼핑,1801
201904,문화관광,2355
201904,역사관광,15758
201904,체험관광,246
201904,레저스포츠,3747
