검색 목적지명,검색량,검색량(전년도),증감률
낙산사,193356,177626,8.9
쏠비치양양,173035,161644,7.0
낙산해변,71527,60467,18.3
서피비치,69282,36215,91.3
휴휴암,68260,57844,18.0
하조대해변,52238,38408,36.0
양양전통시장,37245,26967,38.1
오색약수터,36800,31176,18.0
죽도해변,32165,28053,14.7
설해원CC,25952,11990,116.4
