방문자 연령,방문자 수(남성),방문자 비율(남성),방문자 수(여성),방문자 비율(여성)
80대,1.224353E7,0.1,2535330.0,0.0
70대,3.83144614E8,2.5,5.94297E7,0.4
60대,1.782772948E9,11.5,5.40556075E8,3.5
50대,3.15185618E9,20.2,1.322068274E9,8.5
40대,2.833320546E9,18.2,1.220263681E9,7.8
30대,1.829225715E9,11.7,1.022625421E9,6.6
20대,8.1883082E8,5.3,5.44447904E8,3.5
10대,1.7841324E7,0.1,2.8608152E7,0.2
